"Data","minSplit","minBucket","Cp","maxDepth","Accuracy","Kappa","F1","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Detection.Rate","Desirability","rPART_mod.SE","nDesirability","nDesirability.1"
"RFE_NB",6,3,0.001,8,0.7402,0.4792,0.7224,0.6773,0.8,0.7832,0.7174,0.3272,0.6522,0.0345,0.956304985337243,0.956304985337243
"RFE_NB",6,3,0.001,10,0.7402,0.4792,0.7224,0.6773,0.8,0.7832,0.7174,0.3272,0.6522,0.0345,0.956304985337243,0.956304985337243
"RFE_NB",6,3,0.01,6,0.7489,0.497,0.7338,0.6955,0.8,0.7855,0.7295,0.3359,0.6632,0.0365,0.972434017595308,0.972434017595308
"RFE_NB",6,3,0.01,8,0.7402,0.4792,0.7224,0.6773,0.8,0.7832,0.7174,0.3272,0.6522,0.0345,0.956304985337243,0.956304985337243
"RFE_NB",6,3,0.01,10,0.7402,0.4792,0.7224,0.6773,0.8,0.7832,0.7174,0.3272,0.6522,0.0345,0.956304985337243,0.956304985337243
"RFE_NB",6,4,0,6,0.7319,0.4655,0.7311,0.7303,0.7333,0.7683,0.7383,0.3529,0.6506,0.0283,0.953958944281525,0.953958944281525
"RFE_NB",6,4,0,8,0.7319,0.4655,0.7311,0.7303,0.7333,0.7683,0.7383,0.3529,0.6506,0.0283,0.953958944281525,0.953958944281525
"RFE_NB",6,4,0,10,0.7319,0.4655,0.7311,0.7303,0.7333,0.7683,0.7383,0.3529,0.6506,0.0283,0.953958944281525,0.953958944281525
"RFE_NB",6,4,0.001,6,0.7319,0.4655,0.7311,0.7303,0.7333,0.7683,0.7383,0.3529,0.6506,0.0283,0.953958944281525,0.953958944281525
"RFE_NB",6,4,0.001,8,0.7319,0.4655,0.7311,0.7303,0.7333,0.7683,0.7383,0.3529,0.6506,0.0283,0.953958944281525,0.953958944281525
"RFE_NB",6,4,0.001,10,0.7319,0.4655,0.7311,0.7303,0.7333,0.7683,0.7383,0.3529,0.6506,0.0283,0.953958944281525,0.953958944281525
"RFE_NB",6,4,0.01,6,0.7319,0.4655,0.7311,0.7303,0.7333,0.7683,0.7383,0.3529,0.6506,0.0283,0.953958944281525,0.953958944281525
"RFE_NB",6,4,0.01,8,0.7319,0.4655,0.7311,0.7303,0.7333,0.7683,0.7383,0.3529,0.6506,0.0283,0.953958944281525,0.953958944281525
"RFE_NB",6,4,0.01,10,0.7319,0.4655,0.7311,0.7303,0.7333,0.7683,0.7383,0.3529,0.6506,0.0283,0.953958944281525,0.953958944281525
"RFE_NB",6,6,0,6,0.7236,0.4487,0.7216,0.75,0.7,0.721,0.7591,0.362,0.641,0.0178,0.939882697947214,0.939882697947214
"RFE_NB",6,6,0,8,0.7236,0.4487,0.7216,0.75,0.7,0.721,0.7591,0.362,0.641,0.0178,0.939882697947214,0.939882697947214
"RFE_NB",6,6,0,10,0.7236,0.4487,0.7216,0.75,0.7,0.721,0.7591,0.362,0.641,0.0178,0.939882697947214,0.939882697947214
"RFE_NB",6,6,0.001,6,0.7236,0.4487,0.7216,0.75,0.7,0.721,0.7591,0.362,0.641,0.0178,0.939882697947214,0.939882697947214
"RFE_NB",6,6,0.001,8,0.7236,0.4487,0.7216,0.75,0.7,0.721,0.7591,0.362,0.641,0.0178,0.939882697947214,0.939882697947214
"RFE_NB",6,6,0.001,10,0.7236,0.4487,0.7216,0.75,0.7,0.721,0.7591,0.362,0.641,0.0178,0.939882697947214,0.939882697947214
"RFE_NB",6,6,0.01,6,0.7236,0.4487,0.7216,0.75,0.7,0.721,0.7591,0.362,0.641,0.0178,0.939882697947214,0.939882697947214
"RFE_NB",6,6,0.01,8,0.7236,0.4487,0.7216,0.75,0.7,0.721,0.7591,0.362,0.641,0.0178,0.939882697947214,0.939882697947214
"RFE_NB",6,6,0.01,10,0.7236,0.4487,0.7216,0.75,0.7,0.721,0.7591,0.362,0.641,0.0178,0.939882697947214,0.939882697947214
"RFE_NB",7,3,0,6,0.7489,0.4977,0.7377,0.6955,0.8,0.7978,0.7228,0.3359,0.6646,0.0419,0.974486803519061,0.974486803519061
"RFE_NB",7,3,0,8,0.7489,0.4977,0.7377,0.6955,0.8,0.7978,0.7228,0.3359,0.6646,0.0419,0.974486803519061,0.974486803519061
"RFE_NB",7,3,0,10,0.7489,0.4977,0.7377,0.6955,0.8,0.7978,0.7228,0.3359,0.6646,0.0419,0.974486803519061,0.974486803519061
"RFE_NB",7,3,0.001,6,0.7489,0.4977,0.7377,0.6955,0.8,0.7978,0.7228,0.3359,0.6646,0.0419,0.974486803519061,0.974486803519061
"RFE_NB",7,3,0.001,8,0.7489,0.4977,0.7377,0.6955,0.8,0.7978,0.7228,0.3359,0.6646,0.0419,0.974486803519061,0.974486803519061
"RFE_NB",7,3,0.001,10,0.7489,0.4977,0.7377,0.6955,0.8,0.7978,0.7228,0.3359,0.6646,0.0419,0.974486803519061,0.974486803519061
"RFE_NB",7,3,0.01,6,0.7489,0.4977,0.7377,0.6955,0.8,0.7978,0.7228,0.3359,0.6646,0.0419,0.974486803519061,0.974486803519061
"RFE_NB",7,3,0.01,8,0.7489,0.4977,0.7377,0.6955,0.8,0.7978,0.7228,0.3359,0.6646,0.0419,0.974486803519061,0.974486803519061
"RFE_NB",7,3,0.01,10,0.7489,0.4977,0.7377,0.6955,0.8,0.7978,0.7228,0.3359,0.6646,0.0419,0.974486803519061,0.974486803519061
"RFE_NB",7,4,0,6,0.7319,0.4655,0.7311,0.7303,0.7333,0.7683,0.7383,0.3529,0.6506,0.0283,0.953958944281525,0.953958944281525
"RFE_NB",7,4,0,8,0.7319,0.4655,0.7311,0.7303,0.7333,0.7683,0.7383,0.3529,0.6506,0.0283,0.953958944281525,0.953958944281525
"RFE_NB",7,4,0,10,0.7319,0.4655,0.7311,0.7303,0.7333,0.7683,0.7383,0.3529,0.6506,0.0283,0.953958944281525,0.953958944281525
"RFE_NB",7,4,0.001,6,0.7319,0.4655,0.7311,0.7303,0.7333,0.7683,0.7383,0.3529,0.6506,0.0283,0.953958944281525,0.953958944281525
